Date,CODMBR,raw_signed_dev,upper_threshold,lower_threshold,trend_aware_flag
2021/1/1,475,,37.36152,-37.36152,0
2021/1/2,484,,37.36152,-37.36152,0
2021/1/3,460,,37.36152,-37.36152,0
2021/1/4,520,,-5.63848,-80.36152,0
2021/1/5,516,,15.86152,-58.86152,0
2021/1/6,507,,37.36152,-37.36152,0
2021/1/7,496,,53.36152,-21.36152,0
2021/1/8,485,0,53.36152,-21.36152,0
2021/1/9,453,-43,45.36152,-29.36152,1
2021/1/10,441,-66,37.36152,-37.36152,1
2021/1/11,457,-59,37.36152,-37.36152,1
2021/1/12,460,-47,37.36152,-37.36152,1
2021/1/13,550,45,34.36152,-40.36152,1
2021/1/14,621,122,31.36152,-43.36152,1
2021/1/15,586,87,96.63072,-102.63072,0
2021/1/16,549,46,89.47944,-101.47944,0
2021/1/17,535,32,86.82816,-95.82816,0
2021/1/18,521,16,88.32816,-94.32816,0
2021/1/19,505,0,88.32816,-94.32816,0
2021/1/20,499,-10,87.17688,-87.17688,0
2021/1/21,485,-24,86.0256,-80.0256,0
2021/1/22,491,-18,86.0256,-80.0256,0
2021/1/23,503,-6,86.0256,-80.0256,0
2021/1/24,492,-17,76.79868,-76.79868,0
2021/1/25,512,3,70.57176,-70.57176,0
2021/1/26,498,-11,67.57176,-73.57176,0
2021/1/27,509,-3,63.42048,-69.42048,0
2021/1/28,556,11,59.2692,-65.2692,0
2021/1/29,602,57,59.2692,-65.2692,0
2021/1/30,622,66,55.11792,-61.11792,1
2021/1/31,588,25,58.11792,-58.11792,0
2021/2/1,563,-6,61.11792,-55.11792,0
2021/2/2,574,0,64.11792,-52.11792,0
2021/2/3,545,-32,59.96664,-47.96664,0
2021/2/4,569,-8,59.96664,-47.96664,0
2021/2/5,541,-36,59.96664,-47.96664,0
2021/2/6,580,6,59.96664,-47.96664,0
2021/2/7,601,32,59.96664,-47.96664,0
2021/2/8,586,22,59.96664,-47.96664,0
2021/2/9,611,47,51.66408,-39.66408,0
2021/2/10,577,21,49.66408,-41.66408,0
2021/2/11,564,8,48.66408,-42.66408,0
2021/2/12,556,15,45.5128,-37.5128,0
2021/2/13,536,0,41.36152,-33.36152,0
2021/2/14,499,-22,41.36152,-33.36152,0
2021/2/15,521,6,43.36152,-31.36152,0
2021/2/16,515,3,43.36152,-31.36152,0
2021/2/17,502,-1,41.36152,-33.36152,0
2021/2/18,512,10,32.05896,-26.05896,0
2021/2/19,503,4,30.05896,-28.05896,0
2021/2/20,490,-8,30.05896,-28.05896,0
2021/2/21,472,-18,30.05896,-28.05896,0
2021/2/22,498,13,21.7564,-19.7564,0
2021/2/23,485,0,20.7564,-20.7564,0
2021/2/24,477,0,20.7564,-20.7564,0
2021/2/25,485,13,20.7564,-20.7564,0
2021/2/26,451,0,20.7564,-20.7564,0
2021/2/27,421,-10,20.7564,-20.7564,0
2021/2/28,419,-10,20.7564,-20.7564,0
2021/3/1,429,1,20.7564,-20.7564,0
2021/3/2,431,7,20.7564,-20.7564,0
2021/3/3,424,3,20.7564,-20.7564,0
2021/3/4,428,9,29.05896,-29.05896,0
2021/3/5,419,0,29.05896,-29.05896,0
2021/3/6,412,0,29.05896,-29.05896,0
2021/3/7,410,0,29.05896,-29.05896,0
2021/3/8,402,-4,29.05896,-29.05896,0
2021/3/9,399,-3,29.05896,-29.05896,0
2021/3/10,406,7,29.05896,-29.05896,0
2021/3/11,359,-28,29.05896,-29.05896,0
2021/3/12,346,-29,29.05896,-29.05896,0
2021/3/13,355,-12,29.05896,-29.05896,0
2021/3/14,364,0,29.05896,-29.05896,0
2021/3/15,340,-21,29.05896,-29.05896,0
2021/3/16,347,-12,31.21024,-35.21024,0
2021/3/17,350,-5,31.21024,-35.21024,0
2021/3/18,387,33,31.21024,-35.21024,1
2021/3/19,375,22,31.21024,-35.21024,0
2021/3/20,367,13,33.21024,-33.21024,0
2021/3/21,351,-2,33.21024,-33.21024,0
2021/3/22,361,9,33.21024,-33.21024,0
2021/3/23,354,2,33.21024,-33.21024,0
2021/3/24,345,-8,33.21024,-33.21024,0
2021/3/25,353,0,33.21024,-33.21024,0
2021/3/26,345,-8,33.21024,-33.21024,0
2021/3/27,366,13,33.21024,-33.21024,0
2021/3/28,352,0,33.21024,-33.21024,0
2021/3/29,341,-11,33.21024,-33.21024,0
2021/3/30,351,0,33.21024,-33.21024,0
2021/3/31,364,15,31.21024,-35.21024,0
2021/4/1,349,-2,33.21024,-33.21024,0
2021/4/2,353,4,33.21024,-33.21024,0
2021/4/3,360,11,33.21024,-33.21024,0
2021/4/4,346,-3,33.21024,-33.21024,0
2021/4/5,339,-7,33.21024,-33.21024,0
2021/4/6,325,-24,33.21024,-33.21024,0
2021/4/7,334,-15,33.21024,-33.21024,0
2021/4/8,351,2,33.21024,-33.21024,0
2021/4/9,342,-9,37.36152,-37.36152,0
2021/4/10,338,-8,37.36152,-37.36152,0
2021/4/11,356,10,37.36152,-37.36152,0
2021/4/12,346,0,37.36152,-37.36152,0
2021/4/13,362,16,41.5128,-41.5128,0
2021/4/14,351,0,41.5128,-41.5128,0
2021/4/15,374,23,41.5128,-41.5128,0
2021/4/16,354,0,41.5128,-41.5128,0
2021/4/17,344,-12,41.5128,-41.5128,0
2021/4/18,323,-33,45.66408,-45.66408,0
2021/4/19,346,-8,45.66408,-45.66408,0
2021/4/20,385,23,50.81536,-48.81536,0
2021/4/21,374,18,52.81536,-46.81536,0
2021/4/22,366,1,52.81536,-46.81536,0
2021/4/23,378,17,52.81536,-46.81536,0
2021/4/24,389,27,50.81536,-48.81536,0
2021/4/25,331,-31,46.66408,-44.66408,0
2021/4/26,315,-47,45.66408,-45.66408,1
2021/4/27,365,3,40.66408,-50.66408,0
2021/4/28,356,-5,45.66408,-45.66408,0
2021/4/29,370,13,45.66408,-45.66408,0
2021/4/30,361,5,46.66408,-44.66408,0
2021/5/1,362,6,42.5128,-40.5128,0
2021/5/2,357,5,41.5128,-41.5128,0
2021/5/3,334,-22,40.5128,-42.5128,0
2021/5/4,351,-6,40.5128,-42.5128,0
2021/5/5,325,-31,40.5128,-42.5128,0
2021/5/6,352,-5,41.5128,-41.5128,0
2021/5/7,345,-12,42.5128,-40.5128,0
2021/5/8,357,0,42.5128,-40.5128,0
2021/5/9,345,-12,42.5128,-40.5128,0
2021/5/10,375.1,18.1,41.5128,-41.5128,0
2021/5/11,365,1,40.5128,-42.5128,0
2021/5/12,354,-10,44.81536,-54.81536,0
2021/5/13,364,-1,43.81536,-55.81536,0
2021/5/14,375,10,44.81536,-54.81536,0
2021/5/15,384,19,53.11792,-63.11792,0
2021/5/16,378,13,61.2692,-63.2692,0
2021/5/17,376,11,66.42048,-66.42048,0
2021/5/18,387,22,66.42048,-66.42048,0
2021/5/19,354,-11,71.57176,-69.57176,0
2021/5/20,365,-10,71.57176,-69.57176,0
2021/5/21,354,-22,83.0256,-83.0256,0
2021/5/22,355,-23,82.0256,-84.0256,0
2021/5/23,324,-54,82.0256,-84.0256,0
2021/5/24,378,0,87.17688,-87.17688,0
2021/5/25,351,-36,87.17688,-87.17688,0
2021/5/26,499,73,91.32816,-91.32816,0
2021/5/27,478,38,91.32816,-91.32816,0
2021/5/28,493,39,81.32816,-101.32816,0
2021/5/29,469,3,81.32816,-101.32816,0
2021/5/30,426,-43,81.32816,-101.32816,0
2021/5/31,440,-35,85.17688,-89.17688,0
2021/6/1,466,-12,87.17688,-87.17688,0
2021/6/2,454,-24,87.17688,-87.17688,0
2021/6/3,505,27,90.17688,-84.17688,0
2021/6/4,525,41,112.32816,-70.32816,0
2021/6/5,510,26,112.32816,-70.32816,0
2021/6/6,486,0,94.32816,-88.32816,0
2021/6/7,475,-11,94.32816,-88.32816,0
2021/6/8,484,-2,91.32816,-91.32816,0
2021/6/9,460,-26,81.0256,-85.0256,0
2021/6/10,520,34,81.0256,-85.0256,0
2021/6/11,516,31,83.0256,-83.0256,0
2021/6/12,507,23,83.0256,-83.0256,0
2021/6/13,496,21,83.0256,-83.0256,0
2021/6/14,485,25,81.0256,-85.0256,0
2021/6/15,453,-4,81.0256,-85.0256,0
2021/6/16,441,-12,81.0256,-85.0256,0
2021/6/17,457,16,81.0256,-85.0256,0
2021/6/18,359,-28,72.72304,-76.72304,0
2021/6/19,346,-29,74.72304,-74.72304,0
2021/6/20,355,-12,72.57176,-68.57176,0
2021/6/21,364,0,62.2692,-62.2692,0
2021/6/22,340,-21,57.11792,-59.11792,0
2021/6/23,347,-12,47.81536,-51.81536,0
2021/6/24,350,-5,47.81536,-51.81536,0
2021/6/25,387,33,43.66408,-47.66408,0
2021/6/26,375,22,43.66408,-47.66408,0
2021/6/27,367,13,43.66408,-47.66408,0
2021/6/28,351,-2,43.66408,-47.66408,0
2021/6/29,361,9,43.66408,-47.66408,0
2021/6/30,354,2,44.66408,-46.66408,0
2021/7/1,345,-8,45.66408,-45.66408,0
2021/7/2,353,-1,47.66408,-43.66408,0
2021/7/3,345,-9,47.66408,-43.66408,0
2021/7/4,366,12,47.66408,-43.66408,0
2021/7/5,352,-2,47.66408,-43.66408,0
2021/7/6,341,-13,45.66408,-45.66408,0
2021/7/7,351,-3,44.66408,-46.66408,0
2021/7/8,364,10,44.66408,-46.66408,0
2021/7/9,384,29,48.81536,-50.81536,0
2021/7/10,378,23,48.81536,-50.81536,0
2021/7/11,376,12,52.96664,-54.96664,0
2021/7/12,387,32,53.96664,-53.96664,0
2021/7/13,354,-10,53.96664,-53.96664,0
2021/7/14,365,0,91.32816,-91.32816,0
2021/7/15,354,-22,95.47944,-95.47944,0
2021/7/16,355,-23,95.47944,-95.47944,0
2021/7/17,324,-54,95.47944,-95.47944,0
2021/7/18,378,0,99.63072,-99.63072,0
2021/7/19,351,-36,99.63072,-99.63072,0
2021/7/20,499,73,99.63072,-99.63072,0
2021/7/21,478,38,99.63072,-99.63072,0
2021/7/22,493,39,99.63072,-99.63072,0
2021/7/23,469,3,97.63072,-101.63072,0
2021/7/24,426,-43,97.63072,-101.63072,0
2021/7/25,440,-35,97.63072,-101.63072,0
2021/7/26,466,-12,99.63072,-99.63072,0
2021/7/27,454,-24,99.63072,-99.63072,0
2021/7/28,505,27,102.63072,-96.63072,0
2021/7/29,525,41,102.63072,-96.63072,0
2021/7/30,510,26,102.63072,-96.63072,0
2021/7/31,486,0,99.63072,-99.63072,0
2021/8/1,475,-11,99.63072,-99.63072,0
2021/8/2,484,-2,97.63072,-101.63072,0
2021/8/3,460,-26,97.63072,-101.63072,0
2021/8/4,520,34,99.63072,-99.63072,0
2021/8/5,516,31,99.63072,-99.63072,0
2021/8/6,507,22,110.63072,-88.63072,0
2021/8/7,496,11,118.63072,-80.63072,0
2021/8/8,485,0,110.63072,-88.63072,0
2021/8/9,453,-43,104.63072,-94.63072,0
2021/8/10,441,-66,99.63072,-99.63072,0
2021/8/11,457,-59,95.47944,-95.47944,0
2021/8/12,460,-47,96.32816,-86.32816,0
2021/8/13,550,45,102.32816,-80.32816,0
2021/8/14,621,122,102.32816,-80.32816,1
2021/8/15,586,81,98.17688,-76.17688,0
2021/8/16,549,33,85.72304,-63.72304,0
2021/8/17,535,19,79.72304,-69.72304,0
2021/8/18,521,5,70.57176,-70.57176,0
2021/8/19,505,-11,75.57176,-65.57176,0
2021/8/20,499,-17,75.57176,-65.57176,0
2021/8/21,485,-22,75.57176,-65.57176,0
2021/8/22,520,15,75.57176,-65.57176,0
2021/8/23,516,17,71.42048,-61.42048,0
2021/8/24,507,11,62.2692,-62.2692,0
2021/8/25,496,11,49.81536,-49.81536,0
2021/8/26,485,0,45.81536,-53.81536,0
2021/8/27,453,-4,45.81536,-53.81536,0
2021/8/28,441,-12,45.81536,-53.81536,0
2021/8/29,457,16,45.81536,-53.81536,0
2021/8/30,359,-28,47.81536,-51.81536,0
2021/8/31,346,-29,45.66408,-45.66408,0
2021/9/1,355,-12,45.66408,-45.66408,0
2021/9/2,364,0,45.66408,-45.66408,0
2021/9/3,340,-21,44.66408,-46.66408,0
2021/9/4,347,-12,43.66408,-47.66408,0
2021/9/5,350,-5,43.66408,-47.66408,0
2021/9/6,387,33,43.66408,-47.66408,0
2021/9/7,375,22,43.66408,-47.66408,0
2021/9/8,367,13,43.66408,-47.66408,0
2021/9/9,351,-2,43.66408,-47.66408,0
2021/9/10,361,9,43.66408,-47.66408,0
2021/9/11,354,2,44.66408,-46.66408,0
2021/9/12,345,-8,45.66408,-45.66408,0
2021/9/13,353,-1,49.81536,-49.81536,0
2021/9/14,345,-9,51.81536,-47.81536,0
2021/9/15,366,12,58.81536,-40.81536,0
2021/9/16,352,-2,60.81536,-38.81536,0
2021/9/17,341,-20,62.96664,-44.96664,0
2021/9/18,351,-15,55.96664,-51.96664,0
2021/9/19,521,36,53.96664,-53.96664,0
2021/9/20,505,20,55.96664,-51.96664,0
2021/9/21,499,14,58.11792,-58.11792,0
2021/9/22,485,0,58.11792,-58.11792,0
2021/9/23,520,35,58.11792,-58.11792,0
2021/9/24,516,31,58.11792,-58.11792,0
2021/9/25,507,22,58.11792,-58.11792,0
2021/9/26,496,11,58.11792,-58.11792,0
2021/9/27,485,0,58.11792,-58.11792,0
2021/9/28,453,-4,58.11792,-58.11792,0
2021/9/29,441,-12,58.11792,-58.11792,0
2021/9/30,457,16,58.11792,-58.11792,0
2021/10/1,359,-17,49.81536,-49.81536,0
2021/10/2,346,-30,49.81536,-49.81536,0
2021/10/3,355,-9,48.81536,-50.81536,0
2021/10/4,364,0,48.81536,-50.81536,0
2021/10/5,340,-19,48.81536,-50.81536,0
2021/10/6,347,-8,45.81536,-53.81536,0
2021/10/7,350,-5,45.81536,-53.81536,0
2021/10/8,376,21,45.81536,-53.81536,0
2021/10/9,387,33,48.81536,-50.81536,0
2021/10/10,354,-1,65.42048,-67.42048,0
2021/10/11,365,10,69.57176,-71.57176,0
2021/10/12,354,-1,73.72304,-75.72304,0
2021/10/13,355,-10,74.72304,-74.72304,0
2021/10/14,324,-52,74.72304,-74.72304,0
2021/10/15,378,2,77.87432,-79.87432,0
2021/10/16,351,-27,102.782,-104.782,0
2021/10/17,499,123,106.93328,-108.93328,1
2021/10/18,478,102,106.93328,-108.93328,0
2021/10/19,493,117,106.93328,-108.93328,1
2021/10/20,469,93,106.93328,-108.93328,0
2021/10/21,426,50,106.93328,-108.93328,0
2021/10/22,376,-2,127.68968,-129.68968,0
2021/10/23,387,11,130.68968,-126.68968,0
2021/10/24,354,-24,130.68968,-126.68968,0
2021/10/25,365,-13,130.68968,-126.68968,0
2021/10/26,354,-24,139.68968,-117.68968,0
2021/10/27,355,-21,139.68968,-117.68968,0
2021/10/28,324,-41,134.68968,-122.68968,0
2021/10/29,378,13,129.68968,-127.68968,0
2021/10/30,351,-11,103.782,-103.782,0
2021/10/31,499,142,101.782,-105.782,1
2021/11/1,478,121,70.72304,-78.72304,1
2021/11/2,493,137,69.72304,-79.72304,1
2021/11/3,323,-33,65.57176,-75.57176,0
2021/11/4,356,0,65.57176,-75.57176,0
2021/11/5,378,22,66.57176,-74.57176,0
2021/11/6,362,6,58.11792,-58.11792,0
2021/11/7,357,1,53.96664,-53.96664,0
2021/11/8,334,-22,53.96664,-53.96664,0
2021/11/9,351,-5,49.81536,-49.81536,0
2021/11/10,325,-29,49.81536,-49.81536,0
2021/11/11,352,-4,49.81536,-49.81536,0
2021/11/12,345,-12,49.81536,-49.81536,0
2021/11/13,357,0,49.81536,-49.81536,0
2021/11/14,345,-12,49.81536,-49.81536,0
2021/11/15,375.1,18.1,49.81536,-49.81536,0
2021/11/16,365,1,48.81536,-50.81536,0
2021/11/17,354,-10,45.81536,-53.81536,0
2021/11/18,364,-1,44.81536,-54.81536,0
2021/11/19,375,10,49.96664,-57.96664,0
2021/11/20,384,19,54.11792,-62.11792,0
2021/11/21,378,13,57.11792,-59.11792,0
2021/11/22,376,11,62.2692,-62.2692,0
2021/11/23,387,22,66.42048,-66.42048,0
2021/11/24,354,-11,67.42048,-65.42048,0
2021/11/25,365,-10,67.42048,-65.42048,0
2021/11/26,354,-22,83.0256,-83.0256,0
2021/11/27,355,-23,90.32816,-92.32816,0
2021/11/28,324,-54,90.32816,-92.32816,0
2021/11/29,378,0,91.32816,-91.32816,0
2021/11/30,351,-36,91.32816,-91.32816,0
2021/12/1,499,73,91.32816,-91.32816,0
2021/12/2,478,38,91.32816,-91.32816,0
2021/12/3,493,39,85.47944,-105.47944,0
2021/12/4,469,3,85.47944,-105.47944,0
2021/12/5,426,-43,85.47944,-105.47944,0
2021/12/6,440,-35,93.47944,-97.47944,0
2021/12/7,466,-12,95.47944,-95.47944,0
2021/12/8,454,-24,95.47944,-95.47944,0
2021/12/9,505,27,102.63072,-96.63072,0
2021/12/10,525,41,102.63072,-96.63072,0
2021/12/11,510,26,102.63072,-96.63072,0
2021/12/12,486,0,99.63072,-99.63072,0
2021/12/13,475,-11,99.63072,-99.63072,0
2021/12/14,484,-2,97.63072,-101.63072,0
2021/12/15,460,-26,97.63072,-101.63072,0
2021/12/16,520,34,99.63072,-99.63072,0
2021/12/17,516,31,112.08456,-112.08456,0
2021/12/18,507,22,123.08456,-101.08456,0
2021/12/19,496,11,138.23584,-94.23584,0
2021/12/20,485,0,132.23584,-100.23584,0
2021/12/21,453,-43,127.23584,-105.23584,0
2021/12/22,441,-66,116.23584,-116.23584,0
2021/12/23,457,-59,116.23584,-116.23584,0
2021/12/24,460,-47,116.23584,-116.23584,0
2021/12/25,550,45,116.23584,-116.23584,0
2021/12/26,621,122,116.23584,-116.23584,1
2021/12/27,586,87,116.23584,-116.23584,0
2021/12/28,549,46,116.23584,-116.23584,0
2021/12/29,535,32,109.08456,-115.08456,0
2021/12/30,521,16,96.63072,-102.63072,0
2021/12/31,505,0,88.32816,-94.32816,0
2022/1/1,499,-10,91.32816,-91.32816,0
2022/1/2,485,-24,86.0256,-80.0256,0
2022/1/3,491,-18,86.0256,-80.0256,0
2022/1/4,503,-6,86.0256,-80.0256,0
2022/1/5,492,-17,74.72304,-74.72304,0
2022/1/6,512,3,70.57176,-70.57176,0
2022/1/7,498,-11,67.57176,-73.57176,0
2022/1/8,509,-3,63.42048,-69.42048,0
2022/1/9,556,11,59.2692,-65.2692,0
2022/1/10,602,57,59.2692,-65.2692,0
2022/1/11,622,66,55.11792,-61.11792,1
2022/1/12,588,25,58.11792,-58.11792,0
2022/1/13,563,-6,61.11792,-55.11792,0
2022/1/14,574,0,64.11792,-52.11792,0
2022/1/15,545,-32,59.96664,-47.96664,0
2022/1/16,569,-8,59.96664,-47.96664,0
2022/1/17,541,-36,59.96664,-47.96664,0
2022/1/18,580,6,59.96664,-47.96664,0
